Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.2153,100%
10000,ascending,0,0.8466,100%
100000,ascending,0,12.4198,100%
150000,ascending,0,19.9930,100%
1000,descending,0,0.0816,100%
10000,descending,0,1.6863,100%
100000,descending,0,13.4248,100%
150000,descending,0,26.6410,100%
1000,random,1,0.1545,100%
1000,random,2,0.1714,100%
1000,random,3,0.1648,100%
1000,random,4,0.1628,100%
1000,random,5,0.1678,100%
1000,random,6,0.1730,100%
1000,random,7,0.1675,100%
1000,random,8,0.1761,100%
1000,random,9,0.1664,100%
1000,random,10,0.1636,100%
10000,random,1,2.2269,100%
10000,random,2,2.9276,100%
10000,random,3,2.2370,100%
10000,random,4,2.2148,100%
10000,random,5,2.8444,100%
10000,random,6,2.2098,100%
10000,random,7,2.1778,100%
10000,random,8,2.3720,100%
10000,random,9,2.2505,100%
10000,random,10,2.2125,100%
100000,random,1,28.2966,100%
100000,random,2,27.8141,100%
100000,random,3,29.4409,100%
100000,random,4,27.5786,100%
100000,random,5,28.4503,100%
100000,random,6,28.7083,100%
100000,random,7,29.6958,100%
100000,random,8,30.2371,100%
100000,random,9,28.1929,100%
100000,random,10,28.8950,100%
150000,random,1,51.8659,100%
150000,random,2,48.0713,100%
150000,random,3,46.0678,100%
150000,random,4,47.2636,100%
150000,random,5,48.9041,100%
150000,random,6,47.6863,100%
150000,random,7,44.5076,100%
150000,random,8,43.9326,100%
150000,random,9,45.4979,100%
150000,random,10,44.6664,100%
1000,partially_sorted,1,0.1335,100%
1000,partially_sorted,2,0.1390,100%
1000,partially_sorted,3,0.1792,100%
1000,partially_sorted,4,0.1500,100%
1000,partially_sorted,5,0.1435,100%
1000,partially_sorted,6,0.1483,100%
1000,partially_sorted,7,0.1518,100%
1000,partially_sorted,8,0.1398,100%
1000,partially_sorted,9,0.1538,100%
1000,partially_sorted,10,0.1448,100%
10000,partially_sorted,1,2.2487,100%
10000,partially_sorted,2,2.1584,100%
10000,partially_sorted,3,2.1558,100%
10000,partially_sorted,4,2.1466,100%
10000,partially_sorted,5,2.8354,100%
10000,partially_sorted,6,2.1466,100%
10000,partially_sorted,7,2.1502,100%
10000,partially_sorted,8,2.7788,100%
10000,partially_sorted,9,2.1413,100%
10000,partially_sorted,10,2.0529,100%
100000,partially_sorted,1,29.2177,100%
100000,partially_sorted,2,28.0319,100%
100000,partially_sorted,3,27.8498,100%
100000,partially_sorted,4,27.0952,100%
100000,partially_sorted,5,27.2570,100%
100000,partially_sorted,6,28.6350,100%
100000,partially_sorted,7,28.3690,100%
100000,partially_sorted,8,28.0376,100%
100000,partially_sorted,9,28.9670,100%
100000,partially_sorted,10,29.7283,100%
150000,partially_sorted,1,44.3868,100%
150000,partially_sorted,2,45.7431,100%
150000,partially_sorted,3,44.5441,100%
150000,partially_sorted,4,46.2762,100%
150000,partially_sorted,5,44.5399,100%
150000,partially_sorted,6,43.8010,100%
150000,partially_sorted,7,45.2875,100%
150000,partially_sorted,8,45.7748,100%
150000,partially_sorted,9,45.8529,100%
150000,partially_sorted,10,45.9055,100%
