Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.1260,100%
10000,ascending,0,0.6221,100%
100000,ascending,0,8.2642,100%
150000,ascending,0,12.6493,100%
1000,descending,0,0.0996,100%
10000,descending,0,1.3778,100%
100000,descending,0,17.6369,100%
150000,descending,0,28.5941,100%
1000,random,1,0.1064,100%
1000,random,2,0.0931,100%
1000,random,3,0.1030,100%
1000,random,4,0.1032,100%
1000,random,5,0.1013,100%
1000,random,6,0.1073,100%
1000,random,7,0.1065,100%
1000,random,8,0.1013,100%
1000,random,9,0.1029,100%
1000,random,10,0.1014,100%
10000,random,1,1.3196,100%
10000,random,2,1.3089,100%
10000,random,3,1.3197,100%
10000,random,4,1.2991,100%
10000,random,5,1.3962,100%
10000,random,6,1.3226,100%
10000,random,7,1.2571,100%
10000,random,8,1.6713,100%
10000,random,9,1.2785,100%
10000,random,10,1.3667,100%
100000,random,1,18.2668,100%
100000,random,2,17.2534,100%
100000,random,3,17.4647,100%
100000,random,4,17.3931,100%
100000,random,5,18.2416,100%
100000,random,6,17.4029,100%
100000,random,7,17.9144,100%
100000,random,8,18.5938,100%
100000,random,9,16.9656,100%
100000,random,10,16.7135,100%
150000,random,1,27.3605,100%
150000,random,2,26.8119,100%
150000,random,3,27.6867,100%
150000,random,4,27.8346,100%
150000,random,5,30.0575,100%
150000,random,6,26.8424,100%
150000,random,7,28.1592,100%
150000,random,8,25.9836,100%
150000,random,9,28.2077,100%
150000,random,10,28.0599,100%
1000,partially_sorted,1,0.3102,100%
1000,partially_sorted,2,0.0920,100%
1000,partially_sorted,3,0.0936,100%
1000,partially_sorted,4,0.0877,100%
1000,partially_sorted,5,0.0865,100%
1000,partially_sorted,6,0.0918,100%
1000,partially_sorted,7,0.0930,100%
1000,partially_sorted,8,0.0925,100%
1000,partially_sorted,9,0.0887,100%
1000,partially_sorted,10,0.0960,100%
10000,partially_sorted,1,1.1894,100%
10000,partially_sorted,2,1.2551,100%
10000,partially_sorted,3,1.1517,100%
10000,partially_sorted,4,1.1842,100%
10000,partially_sorted,5,1.7992,100%
10000,partially_sorted,6,1.1127,100%
10000,partially_sorted,7,1.3121,100%
10000,partially_sorted,8,1.5319,100%
10000,partially_sorted,9,1.1989,100%
10000,partially_sorted,10,1.1700,100%
100000,partially_sorted,1,15.8480,100%
100000,partially_sorted,2,16.0525,100%
100000,partially_sorted,3,15.6487,100%
100000,partially_sorted,4,15.4117,100%
100000,partially_sorted,5,14.8784,100%
100000,partially_sorted,6,15.5560,100%
100000,partially_sorted,7,16.2218,100%
100000,partially_sorted,8,15.4781,100%
100000,partially_sorted,9,15.7674,100%
100000,partially_sorted,10,15.3408,100%
150000,partially_sorted,1,23.1800,100%
150000,partially_sorted,2,22.9722,100%
150000,partially_sorted,3,22.9560,100%
150000,partially_sorted,4,28.0497,100%
150000,partially_sorted,5,22.5636,100%
150000,partially_sorted,6,24.0762,100%
150000,partially_sorted,7,24.5743,100%
150000,partially_sorted,8,22.0412,100%
150000,partially_sorted,9,25.0669,100%
150000,partially_sorted,10,25.2099,100%
