Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,2.0796,100%
10000,ascending,0,199.2027,100%
100000,ascending,0,19089.1703,100%
1000,descending,0,2.2300,100%
10000,descending,0,206.5132,100%
100000,descending,0,19513.6666,100%
1000,random,1,0.2735,100%
1000,random,2,0.2795,100%
1000,random,3,0.2897,100%
1000,random,4,0.3140,100%
1000,random,5,0.3009,100%
1000,random,6,0.2898,100%
1000,random,7,0.2809,100%
1000,random,8,0.2784,100%
1000,random,9,0.2911,100%
1000,random,10,0.2956,100%
10000,random,1,6.5014,100%
10000,random,2,6.7060,100%
10000,random,3,7.3548,100%
10000,random,4,6.2792,100%
10000,random,5,7.0094,100%
10000,random,6,6.8673,100%
10000,random,7,6.1417,100%
10000,random,8,7.1195,100%
10000,random,9,6.7593,100%
10000,random,10,6.3176,100%
100000,random,1,151.6125,100%
100000,random,2,158.0187,100%
100000,random,3,146.9133,100%
100000,random,4,154.4316,100%
100000,random,5,160.6284,100%
100000,random,6,156.9982,100%
100000,random,7,159.2138,100%
100000,random,8,153.1420,100%
100000,random,9,146.6510,100%
100000,random,10,151.4373,100%
1000,partially_sorted,1,1.0014,100%
1000,partially_sorted,2,1.0079,100%
1000,partially_sorted,3,1.1012,100%
1000,partially_sorted,4,1.0792,100%
1000,partially_sorted,5,0.9957,100%
1000,partially_sorted,6,1.0569,100%
1000,partially_sorted,7,1.0260,100%
1000,partially_sorted,8,1.2851,100%
1000,partially_sorted,9,1.0423,100%
1000,partially_sorted,10,1.0023,100%
10000,partially_sorted,1,82.2888,100%
10000,partially_sorted,2,82.0061,100%
10000,partially_sorted,3,82.9969,100%
10000,partially_sorted,4,82.2036,100%
10000,partially_sorted,5,79.6005,100%
10000,partially_sorted,6,83.2814,100%
10000,partially_sorted,7,79.5849,100%
10000,partially_sorted,8,81.2261,100%
10000,partially_sorted,9,81.8515,100%
10000,partially_sorted,10,87.0434,100%
100000,partially_sorted,1,7652.3462,100%
100000,partially_sorted,2,7615.0909,100%
100000,partially_sorted,3,7818.6146,100%
100000,partially_sorted,4,7981.6029,100%
100000,partially_sorted,5,7905.8728,100%
100000,partially_sorted,6,8815.3723,100%
100000,partially_sorted,7,8015.7457,100%
100000,partially_sorted,8,7766.5979,100%
100000,partially_sorted,9,7660.7256,100%
100000,partially_sorted,10,7690.7533,100%
