Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.3607,100%
10000,ascending,0,3.2774,100%
100000,ascending,0,39.9450,100%
150000,ascending,0,59.4277,100%
1000,descending,0,0.3945,100%
10000,descending,0,3.0810,100%
100000,descending,0,39.2283,100%
150000,descending,0,62.4201,100%
1000,random,1,0.6036,100%
1000,random,2,0.5359,100%
1000,random,3,0.3596,100%
1000,random,4,0.6822,100%
1000,random,5,0.5206,100%
1000,random,6,0.3307,100%
1000,random,7,0.7130,100%
1000,random,8,0.3854,100%
1000,random,9,0.3725,100%
1000,random,10,0.3368,100%
10000,random,1,4.6064,100%
10000,random,2,4.2176,100%
10000,random,3,5.8742,100%
10000,random,4,3.9750,100%
10000,random,5,5.4938,100%
10000,random,6,4.0306,100%
10000,random,7,4.0885,100%
10000,random,8,5.0067,100%
10000,random,9,3.9224,100%
10000,random,10,5.2196,100%
100000,random,1,58.0697,100%
100000,random,2,61.4006,100%
100000,random,3,55.3819,100%
100000,random,4,54.8841,100%
100000,random,5,52.6011,100%
100000,random,6,49.6265,100%
100000,random,7,52.8071,100%
100000,random,8,56.0818,100%
100000,random,9,51.2731,100%
100000,random,10,53.6602,100%
150000,random,1,96.9592,100%
150000,random,2,117.7751,100%
150000,random,3,162.5156,100%
150000,random,4,101.6196,100%
150000,random,5,111.7320,100%
150000,random,6,150.8271,100%
150000,random,7,148.6215,100%
150000,random,8,175.8978,100%
150000,random,9,160.2909,100%
150000,random,10,155.5854,100%
1000,partially_sorted,1,0.7060,100%
1000,partially_sorted,2,0.4827,100%
1000,partially_sorted,3,0.7455,100%
1000,partially_sorted,4,0.4202,100%
1000,partially_sorted,5,0.5381,100%
1000,partially_sorted,6,0.8163,100%
1000,partially_sorted,7,0.5426,100%
1000,partially_sorted,8,0.4744,100%
1000,partially_sorted,9,0.7465,100%
1000,partially_sorted,10,0.8091,100%
10000,partially_sorted,1,8.5217,100%
10000,partially_sorted,2,7.0890,100%
10000,partially_sorted,3,6.2640,100%
10000,partially_sorted,4,5.3484,100%
10000,partially_sorted,5,5.5744,100%
10000,partially_sorted,6,8.8987,100%
10000,partially_sorted,7,8.4816,100%
10000,partially_sorted,8,9.8591,100%
10000,partially_sorted,9,7.6674,100%
10000,partially_sorted,10,6.6108,100%
100000,partially_sorted,1,84.7555,100%
100000,partially_sorted,2,103.4246,100%
100000,partially_sorted,3,69.9302,100%
100000,partially_sorted,4,56.0201,100%
100000,partially_sorted,5,57.5359,100%
100000,partially_sorted,6,56.2819,100%
100000,partially_sorted,7,58.5943,100%
100000,partially_sorted,8,53.2466,100%
100000,partially_sorted,9,60.7370,100%
100000,partially_sorted,10,64.7827,100%
150000,partially_sorted,1,102.9303,100%
150000,partially_sorted,2,91.4873,100%
150000,partially_sorted,3,82.8506,100%
150000,partially_sorted,4,77.4763,100%
150000,partially_sorted,5,86.8516,100%
150000,partially_sorted,6,78.3726,100%
150000,partially_sorted,7,94.2669,100%
150000,partially_sorted,8,88.8124,100%
150000,partially_sorted,9,85.8822,100%
150000,partially_sorted,10,79.3145,100%
