Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,1.6161,100%
10000,ascending,0,149.9224,100%
100000,ascending,0,15938.3163,100%
150000,ascending,0,44868.2365,100%
1000,descending,0,5.2585,100%
10000,descending,0,569.6850,100%
100000,descending,0,58343.0825,100%
150000,descending,0,140610.1716,100%
1000,random,1,6.0028,100%
1000,random,2,5.7476,100%
1000,random,3,6.2233,100%
1000,random,4,5.0549,100%
1000,random,5,5.4565,100%
1000,random,6,5.5621,100%
1000,random,7,5.8216,100%
1000,random,8,5.3361,100%
1000,random,9,6.8507,100%
1000,random,10,6.0326,100%
10000,random,1,656.7464,100%
10000,random,2,725.7144,100%
10000,random,3,692.6813,100%
10000,random,4,616.5583,100%
10000,random,5,617.0374,100%
10000,random,6,637.1138,100%
10000,random,7,685.0698,100%
10000,random,8,621.1067,100%
10000,random,9,611.4292,100%
10000,random,10,621.9006,100%
100000,random,1,66137.3309,100%
100000,random,2,61671.7101,100%
100000,random,3,61320.0475,100%
100000,random,4,64283.1074,100%
100000,random,5,63975.3246,100%
100000,random,6,64305.1485,100%
100000,random,7,62969.5851,100%
100000,random,8,62064.9410,100%
100000,random,9,63648.0252,100%
100000,random,10,60913.4778,100%
150000,random,1,138877.4203,100%
150000,random,2,140397.7682,100%
150000,random,3,139365.3112,100%
150000,random,4,139602.4027,100%
150000,random,5,139497.3957,100%
150000,random,6,142369.7141,100%
150000,random,7,168656.4962,100%
150000,random,8,171185.9129,100%
150000,random,9,167242.2263,100%
150000,random,10,169105.1791,100%
1000,partially_sorted,1,4.5501,100%
1000,partially_sorted,2,5.5877,100%
1000,partially_sorted,3,6.1789,100%
1000,partially_sorted,4,5.3956,100%
1000,partially_sorted,5,5.1149,100%
1000,partially_sorted,6,5.5423,100%
1000,partially_sorted,7,6.5078,100%
1000,partially_sorted,8,4.8889,100%
1000,partially_sorted,9,4.3534,100%
1000,partially_sorted,10,4.8146,100%
10000,partially_sorted,1,658.5240,100%
10000,partially_sorted,2,588.5514,100%
10000,partially_sorted,3,526.3730,100%
10000,partially_sorted,4,479.4364,100%
10000,partially_sorted,5,508.6321,100%
10000,partially_sorted,6,533.6380,100%
10000,partially_sorted,7,542.3125,100%
10000,partially_sorted,8,507.4555,100%
10000,partially_sorted,9,508.4171,100%
10000,partially_sorted,10,531.6095,100%
100000,partially_sorted,1,51156.4183,100%
100000,partially_sorted,2,54626.7584,100%
100000,partially_sorted,3,55871.8885,100%
100000,partially_sorted,4,54469.1101,100%
100000,partially_sorted,5,53409.8813,100%
100000,partially_sorted,6,55236.5537,100%
100000,partially_sorted,7,52234.6510,100%
100000,partially_sorted,8,56328.4731,100%
100000,partially_sorted,9,54251.4918,100%
100000,partially_sorted,10,56814.0395,100%
150000,partially_sorted,1,120219.4756,100%
150000,partially_sorted,2,97662.4493,100%
150000,partially_sorted,3,109461.7096,100%
150000,partially_sorted,4,120693.1810,100%
150000,partially_sorted,5,120935.1781,100%
150000,partially_sorted,6,123820.4306,100%
150000,partially_sorted,7,120787.2156,100%
150000,partially_sorted,8,123892.8574,100%
150000,partially_sorted,9,120914.8624,100%
150000,partially_sorted,10,119722.0695,100%
