Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.0041,100%
10000,ascending,0,0.0603,100%
100000,ascending,0,0.5667,100%
150000,ascending,0,1.0183,100%
1000,descending,0,6.4510,100%
10000,descending,0,780.5243,100%
100000,descending,0,80705.7555,100%
150000,descending,0,181965.5454,100%
1000,random,1,5.4490,100%
1000,random,2,5.3543,100%
1000,random,3,5.3223,100%
1000,random,4,5.9352,100%
1000,random,5,4.7332,100%
1000,random,6,5.8224,100%
1000,random,7,5.6377,100%
1000,random,8,4.9868,100%
1000,random,9,5.3485,100%
1000,random,10,6.2943,100%
10000,random,1,619.1779,100%
10000,random,2,543.1283,100%
10000,random,3,652.7037,100%
10000,random,4,557.9030,100%
10000,random,5,584.5749,100%
10000,random,6,594.7973,100%
10000,random,7,539.1256,100%
10000,random,8,644.8224,100%
10000,random,9,605.3733,100%
10000,random,10,580.3274,100%
100000,random,1,55021.6298,100%
100000,random,2,57306.1970,100%
100000,random,3,57071.5630,100%
100000,random,4,56426.4187,100%
100000,random,5,53462.1388,100%
100000,random,6,57437.7962,100%
100000,random,7,61129.4014,100%
100000,random,8,41863.2537,100%
100000,random,9,36434.5352,100%
100000,random,10,36220.6707,100%
150000,random,1,104346.5663,100%
150000,random,2,108292.3927,100%
150000,random,3,123435.0377,100%
150000,random,4,118652.4551,100%
150000,random,5,125141.4792,100%
150000,random,6,125723.5589,100%
150000,random,7,122516.7943,100%
150000,random,8,123120.2550,100%
150000,random,9,119009.7591,100%
150000,random,10,122364.6470,100%
1000,partially_sorted,1,2.0220,100%
1000,partially_sorted,2,3.4286,100%
1000,partially_sorted,3,2.3340,100%
1000,partially_sorted,4,3.5972,100%
1000,partially_sorted,5,2.3869,100%
1000,partially_sorted,6,2.1035,100%
1000,partially_sorted,7,2.0891,100%
1000,partially_sorted,8,2.3389,100%
1000,partially_sorted,9,2.0468,100%
1000,partially_sorted,10,2.4954,100%
10000,partially_sorted,1,238.2419,100%
10000,partially_sorted,2,225.1927,100%
10000,partially_sorted,3,240.8116,100%
10000,partially_sorted,4,255.0571,100%
10000,partially_sorted,5,223.8458,100%
10000,partially_sorted,6,207.6138,100%
10000,partially_sorted,7,215.8223,100%
10000,partially_sorted,8,222.2361,100%
10000,partially_sorted,9,235.1983,100%
10000,partially_sorted,10,241.3115,100%
100000,partially_sorted,1,24007.3060,100%
100000,partially_sorted,2,23889.6770,100%
100000,partially_sorted,3,23880.1791,100%
100000,partially_sorted,4,23518.3278,100%
100000,partially_sorted,5,23221.2329,100%
100000,partially_sorted,6,23511.5037,100%
100000,partially_sorted,7,23359.7303,100%
100000,partially_sorted,8,24079.6325,100%
100000,partially_sorted,9,23083.0093,100%
100000,partially_sorted,10,22057.9381,100%
150000,partially_sorted,1,56403.5320,100%
150000,partially_sorted,2,53100.5559,100%
150000,partially_sorted,3,52301.8411,100%
150000,partially_sorted,4,52383.1717,100%
150000,partially_sorted,5,55084.0077,100%
150000,partially_sorted,6,51771.5938,100%
150000,partially_sorted,7,54577.8212,100%
150000,partially_sorted,8,55097.8531,100%
150000,partially_sorted,9,52947.4982,100%
150000,partially_sorted,10,35640.9669,100%
