Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.3797,100%
10000,ascending,0,3.3554,100%
100000,ascending,0,42.6736,100%
150000,ascending,0,62.0234,100%
1000,descending,0,0.3066,100%
10000,descending,0,3.1594,100%
100000,descending,0,35.8162,100%
150000,descending,0,56.1887,100%
1000,random,1,0.2289,100%
1000,random,2,0.2026,100%
1000,random,3,0.2230,100%
1000,random,4,0.3549,100%
1000,random,5,0.2004,100%
1000,random,6,0.1897,100%
1000,random,7,0.3225,100%
1000,random,8,0.3290,100%
1000,random,9,0.2123,100%
1000,random,10,0.2054,100%
10000,random,1,2.8078,100%
10000,random,2,3.2983,100%
10000,random,3,2.8860,100%
10000,random,4,3.5521,100%
10000,random,5,3.1154,100%
10000,random,6,3.1324,100%
10000,random,7,2.8498,100%
10000,random,8,2.8367,100%
10000,random,9,2.9176,100%
10000,random,10,3.5964,100%
100000,random,1,40.4411,100%
100000,random,2,43.0764,100%
100000,random,3,43.1337,100%
100000,random,4,41.1597,100%
100000,random,5,44.4077,100%
100000,random,6,50.5146,100%
100000,random,7,49.0036,100%
100000,random,8,49.3819,100%
100000,random,9,47.6256,100%
100000,random,10,46.0040,100%
150000,random,1,72.6731,100%
150000,random,2,73.7620,100%
150000,random,3,72.1602,100%
150000,random,4,67.0203,100%
150000,random,5,71.0580,100%
150000,random,6,71.5588,100%
150000,random,7,71.9987,100%
150000,random,8,64.8872,100%
150000,random,9,69.2034,100%
150000,random,10,68.5928,100%
1000,partially_sorted,1,0.3084,100%
1000,partially_sorted,2,0.2055,100%
1000,partially_sorted,3,0.2548,100%
1000,partially_sorted,4,0.2088,100%
1000,partially_sorted,5,0.2527,100%
1000,partially_sorted,6,0.2091,100%
1000,partially_sorted,7,0.2039,100%
1000,partially_sorted,8,0.2310,100%
1000,partially_sorted,9,0.2031,100%
1000,partially_sorted,10,0.3344,100%
10000,partially_sorted,1,2.9893,100%
10000,partially_sorted,2,3.4185,100%
10000,partially_sorted,3,2.9095,100%
10000,partially_sorted,4,3.6295,100%
10000,partially_sorted,5,2.9702,100%
10000,partially_sorted,6,3.6824,100%
10000,partially_sorted,7,2.8866,100%
10000,partially_sorted,8,3.7920,100%
10000,partially_sorted,9,3.8183,100%
10000,partially_sorted,10,4.9852,100%
100000,partially_sorted,1,49.7003,100%
100000,partially_sorted,2,49.2798,100%
100000,partially_sorted,3,44.5634,100%
100000,partially_sorted,4,41.2144,100%
100000,partially_sorted,5,48.2397,100%
100000,partially_sorted,6,44.9204,100%
100000,partially_sorted,7,47.1792,100%
100000,partially_sorted,8,46.0144,100%
100000,partially_sorted,9,42.3168,100%
100000,partially_sorted,10,40.7558,100%
150000,partially_sorted,1,64.7594,100%
150000,partially_sorted,2,63.1011,100%
150000,partially_sorted,3,62.4212,100%
150000,partially_sorted,4,66.4498,100%
150000,partially_sorted,5,67.5062,100%
150000,partially_sorted,6,63.3530,100%
150000,partially_sorted,7,61.4156,100%
150000,partially_sorted,8,68.4913,100%
150000,partially_sorted,9,63.3330,100%
150000,partially_sorted,10,66.2433,100%
