Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.0131,100%
10000,ascending,0,0.1254,100%
100000,ascending,0,0.7101,100%
150000,ascending,0,1.2748,100%
1000,descending,0,5.3473,100%
10000,descending,0,440.7111,100%
100000,descending,0,37148.7514,100%
150000,descending,0,82162.6478,100%
1000,random,1,2.2486,100%
1000,random,2,1.3151,100%
1000,random,3,1.4057,100%
1000,random,4,2.2920,100%
1000,random,5,1.4629,100%
1000,random,6,1.3449,100%
1000,random,7,1.6960,100%
1000,random,8,1.3987,100%
1000,random,9,1.7998,100%
1000,random,10,1.3868,100%
10000,random,1,170.5016,100%
10000,random,2,203.0547,100%
10000,random,3,190.1429,100%
10000,random,4,170.2698,100%
10000,random,5,182.2770,100%
10000,random,6,201.9660,100%
10000,random,7,200.5736,100%
10000,random,8,160.7881,100%
10000,random,9,194.7667,100%
10000,random,10,172.7016,100%
100000,random,1,19015.8037,100%
100000,random,2,16784.4073,100%
100000,random,3,19961.6332,100%
100000,random,4,17639.9858,100%
100000,random,5,17316.2396,100%
100000,random,6,19011.6057,100%
100000,random,7,16751.5986,100%
100000,random,8,18089.8308,100%
100000,random,9,17821.5267,100%
100000,random,10,18211.8077,100%
150000,random,1,41444.3101,100%
150000,random,2,40937.8581,100%
150000,random,3,40526.3180,100%
150000,random,4,39740.0946,100%
150000,random,5,40708.4277,100%
150000,random,6,41662.7200,100%
150000,random,7,43426.9583,100%
150000,random,8,41176.9940,100%
150000,random,9,40209.9609,100%
150000,random,10,39176.2254,100%
1000,partially_sorted,1,0.9759,100%
1000,partially_sorted,2,1.2421,100%
1000,partially_sorted,3,1.0402,100%
1000,partially_sorted,4,1.2896,100%
1000,partially_sorted,5,0.7254,100%
1000,partially_sorted,6,0.7495,100%
1000,partially_sorted,7,0.7242,100%
1000,partially_sorted,8,0.9937,100%
1000,partially_sorted,9,1.2232,100%
1000,partially_sorted,10,0.7126,100%
10000,partially_sorted,1,94.8343,100%
10000,partially_sorted,2,106.8598,100%
10000,partially_sorted,3,101.2604,100%
10000,partially_sorted,4,97.9981,100%
10000,partially_sorted,5,104.3267,100%
10000,partially_sorted,6,99.7742,100%
10000,partially_sorted,7,99.0976,100%
10000,partially_sorted,8,100.0110,100%
10000,partially_sorted,9,116.9685,100%
10000,partially_sorted,10,122.5571,100%
100000,partially_sorted,1,10944.2461,100%
100000,partially_sorted,2,9696.0626,100%
100000,partially_sorted,3,10608.2911,100%
100000,partially_sorted,4,9358.2092,100%
100000,partially_sorted,5,9448.2416,100%
100000,partially_sorted,6,9481.7908,100%
100000,partially_sorted,7,8953.5453,100%
100000,partially_sorted,8,9786.3089,100%
100000,partially_sorted,9,9992.3771,100%
100000,partially_sorted,10,9902.4816,100%
150000,partially_sorted,1,20583.6721,100%
150000,partially_sorted,2,20183.3981,100%
150000,partially_sorted,3,22351.6837,100%
150000,partially_sorted,4,21823.4289,100%
150000,partially_sorted,5,20676.3662,100%
150000,partially_sorted,6,19805.0462,100%
150000,partially_sorted,7,23020.5709,100%
150000,partially_sorted,8,22283.6234,100%
150000,partially_sorted,9,21459.4439,100%
150000,partially_sorted,10,23200.7522,100%
