Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,2.6806,100%
10000,ascending,0,241.0257,100%
100000,ascending,0,25680.8518,100%
150000,ascending,0,69555.9641,100%
1000,descending,0,3.6408,100%
10000,descending,0,327.2521,100%
100000,descending,0,28848.8615,100%
150000,descending,0,66090.1544,100%
1000,random,1,0.8825,100%
1000,random,2,0.3241,100%
1000,random,3,0.3432,100%
1000,random,4,0.5521,100%
1000,random,5,0.3472,100%
1000,random,6,0.3347,100%
1000,random,7,0.4886,100%
1000,random,8,0.5010,100%
1000,random,9,0.3367,100%
1000,random,10,0.5076,100%
10000,random,1,9.0316,100%
10000,random,2,9.3762,100%
10000,random,3,9.7614,100%
10000,random,4,9.9654,100%
10000,random,5,9.5276,100%
10000,random,6,8.2659,100%
10000,random,7,8.9373,100%
10000,random,8,9.0542,100%
10000,random,9,9.0807,100%
10000,random,10,8.9752,100%
100000,random,1,253.4716,100%
100000,random,2,371.3886,100%
100000,random,3,233.1472,100%
100000,random,4,254.1103,100%
100000,random,5,258.9817,100%
100000,random,6,256.0020,100%
100000,random,7,249.1445,100%
100000,random,8,250.3323,100%
100000,random,9,256.4533,100%
100000,random,10,268.5444,100%
150000,random,1,434.9800,100%
150000,random,2,428.2357,100%
150000,random,3,397.6678,100%
150000,random,4,420.8279,100%
150000,random,5,378.8522,100%
150000,random,6,391.0383,100%
150000,random,7,411.1224,100%
150000,random,8,437.1334,100%
150000,random,9,444.7305,100%
150000,random,10,436.6296,100%
1000,partially_sorted,1,1.6350,100%
1000,partially_sorted,2,1.7014,100%
1000,partially_sorted,3,1.2810,100%
1000,partially_sorted,4,1.7955,100%
1000,partially_sorted,5,1.5860,100%
1000,partially_sorted,6,1.2120,100%
1000,partially_sorted,7,1.2578,100%
1000,partially_sorted,8,1.1676,100%
1000,partially_sorted,9,1.2376,100%
1000,partially_sorted,10,1.7070,100%
10000,partially_sorted,1,116.4881,100%
10000,partially_sorted,2,114.9655,100%
10000,partially_sorted,3,120.9934,100%
10000,partially_sorted,4,129.2274,100%
10000,partially_sorted,5,137.0099,100%
10000,partially_sorted,6,181.4763,100%
10000,partially_sorted,7,139.9969,100%
10000,partially_sorted,8,137.0441,100%
10000,partially_sorted,9,125.5749,100%
10000,partially_sorted,10,129.3518,100%
100000,partially_sorted,1,14043.0011,100%
100000,partially_sorted,2,14289.3254,100%
100000,partially_sorted,3,11945.4197,100%
100000,partially_sorted,4,11277.3165,100%
100000,partially_sorted,5,11827.5612,100%
100000,partially_sorted,6,11512.4276,100%
100000,partially_sorted,7,11931.9638,100%
100000,partially_sorted,8,11890.8231,100%
100000,partially_sorted,9,12013.5879,100%
100000,partially_sorted,10,11765.7210,100%
150000,partially_sorted,1,27319.7189,100%
150000,partially_sorted,2,27006.0143,100%
150000,partially_sorted,3,28497.2745,100%
150000,partially_sorted,4,27143.2983,100%
150000,partially_sorted,5,27377.6412,100%
150000,partially_sorted,6,26226.1649,100%
150000,partially_sorted,7,27781.4918,100%
150000,partially_sorted,8,27246.8371,100%
150000,partially_sorted,9,27192.2791,100%
150000,partially_sorted,10,26624.2073,100%
