Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,2.0481,100%
10000,ascending,0,213.1832,100%
100000,ascending,0,24315.5290,100%
150000,ascending,0,57601.3529,100%
1000,descending,0,2.1193,100%
10000,descending,0,243.6709,100%
100000,descending,0,25449.8490,100%
150000,descending,0,49581.0631,100%
1000,random,1,1.7848,100%
1000,random,2,2.1506,100%
1000,random,3,1.7757,100%
1000,random,4,1.7299,100%
1000,random,5,2.6506,100%
1000,random,6,1.7415,100%
1000,random,7,1.8340,100%
1000,random,8,2.0592,100%
1000,random,9,2.4205,100%
1000,random,10,1.8381,100%
10000,random,1,188.9668,100%
10000,random,2,178.2378,100%
10000,random,3,177.8348,100%
10000,random,4,219.0714,100%
10000,random,5,209.4279,100%
10000,random,6,214.5117,100%
10000,random,7,211.3900,100%
10000,random,8,223.2068,100%
10000,random,9,211.1202,100%
10000,random,10,188.7623,100%
100000,random,1,24164.4763,100%
100000,random,2,20840.8138,100%
100000,random,3,23201.6089,100%
100000,random,4,26639.1093,100%
100000,random,5,23754.8927,100%
100000,random,6,23006.5474,100%
100000,random,7,24307.6651,100%
100000,random,8,24976.7342,100%
100000,random,9,24534.8384,100%
100000,random,10,24546.8090,100%
150000,random,1,58754.0273,100%
150000,random,2,57181.8672,100%
150000,random,3,55897.8691,100%
150000,random,4,58711.3124,100%
150000,random,5,56706.2498,100%
150000,random,6,56250.3953,100%
150000,random,7,55128.2988,100%
150000,random,8,54875.2558,100%
150000,random,9,57062.0245,100%
150000,random,10,54915.2951,100%
1000,partially_sorted,1,1.8974,100%
1000,partially_sorted,2,1.7580,100%
1000,partially_sorted,3,1.7570,100%
1000,partially_sorted,4,1.7347,100%
1000,partially_sorted,5,2.3652,100%
1000,partially_sorted,6,1.7662,100%
1000,partially_sorted,7,2.3394,100%
1000,partially_sorted,8,1.7774,100%
1000,partially_sorted,9,1.8084,100%
1000,partially_sorted,10,1.8964,100%
10000,partially_sorted,1,243.5716,100%
10000,partially_sorted,2,244.8197,100%
10000,partially_sorted,3,213.8401,100%
10000,partially_sorted,4,247.8477,100%
10000,partially_sorted,5,249.5280,100%
10000,partially_sorted,6,223.7010,100%
10000,partially_sorted,7,335.2230,100%
10000,partially_sorted,8,232.8308,100%
10000,partially_sorted,9,268.1604,100%
10000,partially_sorted,10,292.6904,100%
100000,partially_sorted,1,25678.5588,100%
100000,partially_sorted,2,24981.2791,100%
100000,partially_sorted,3,25986.8084,100%
100000,partially_sorted,4,25056.4768,100%
100000,partially_sorted,5,25012.3063,100%
100000,partially_sorted,6,25482.1672,100%
100000,partially_sorted,7,25030.6360,100%
100000,partially_sorted,8,25390.4589,100%
100000,partially_sorted,9,24043.8971,100%
100000,partially_sorted,10,24813.5782,100%
150000,partially_sorted,1,57407.5797,100%
150000,partially_sorted,2,57493.3522,100%
150000,partially_sorted,3,56695.4207,100%
150000,partially_sorted,4,55351.6187,100%
150000,partially_sorted,5,55999.2426,100%
150000,partially_sorted,6,47315.5405,100%
150000,partially_sorted,7,43211.0571,100%
150000,partially_sorted,8,53191.9547,100%
150000,partially_sorted,9,57675.9466,100%
150000,partially_sorted,10,61807.0332,100%
