Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.0723,100%
10000,ascending,0,1.3215,100%
100000,ascending,0,19.3506,100%
150000,ascending,0,29.4850,100%
1000,descending,0,0.1509,100%
10000,descending,0,2.2931,100%
100000,descending,0,27.5195,100%
150000,descending,0,54.1721,100%
1000,random,1,0.3253,100%
1000,random,2,0.3094,100%
1000,random,3,0.1949,100%
1000,random,4,0.3399,100%
1000,random,5,0.1932,100%
1000,random,6,0.3415,100%
1000,random,7,0.2335,100%
1000,random,8,0.3054,100%
1000,random,9,0.2044,100%
1000,random,10,0.2042,100%
10000,random,1,3.1206,100%
10000,random,2,2.8393,100%
10000,random,3,3.3735,100%
10000,random,4,2.7933,100%
10000,random,5,2.7282,100%
10000,random,6,3.2166,100%
10000,random,7,3.2879,100%
10000,random,8,4.2885,100%
10000,random,9,2.8385,100%
10000,random,10,3.0544,100%
100000,random,1,41.1233,100%
100000,random,2,45.5139,100%
100000,random,3,37.4976,100%
100000,random,4,37.3595,100%
100000,random,5,40.9897,100%
100000,random,6,34.5743,100%
100000,random,7,31.8799,100%
100000,random,8,34.4777,100%
100000,random,9,34.3904,100%
100000,random,10,30.7411,100%
150000,random,1,47.2449,100%
150000,random,2,55.5601,100%
150000,random,3,51.5791,100%
150000,random,4,51.7161,100%
150000,random,5,53.5939,100%
150000,random,6,55.5984,100%
150000,random,7,58.7089,100%
150000,random,8,72.2696,100%
150000,random,9,55.3370,100%
150000,random,10,80.9960,100%
1000,partially_sorted,1,0.1822,100%
1000,partially_sorted,2,0.6800,100%
1000,partially_sorted,3,0.3014,100%
1000,partially_sorted,4,0.2510,100%
1000,partially_sorted,5,0.2891,100%
1000,partially_sorted,6,0.2690,100%
1000,partially_sorted,7,0.5003,100%
1000,partially_sorted,8,0.2893,100%
1000,partially_sorted,9,0.1833,100%
1000,partially_sorted,10,0.2875,100%
10000,partially_sorted,1,2.4106,100%
10000,partially_sorted,2,2.9412,100%
10000,partially_sorted,3,2.4803,100%
10000,partially_sorted,4,3.3562,100%
10000,partially_sorted,5,2.7781,100%
10000,partially_sorted,6,2.3522,100%
10000,partially_sorted,7,2.5616,100%
10000,partially_sorted,8,3.5666,100%
10000,partially_sorted,9,3.4481,100%
10000,partially_sorted,10,2.7961,100%
100000,partially_sorted,1,34.3296,100%
100000,partially_sorted,2,31.7508,100%
100000,partially_sorted,3,33.4249,100%
100000,partially_sorted,4,41.9437,100%
100000,partially_sorted,5,38.8552,100%
100000,partially_sorted,6,33.6017,100%
100000,partially_sorted,7,33.1473,100%
100000,partially_sorted,8,36.0056,100%
100000,partially_sorted,9,33.0452,100%
100000,partially_sorted,10,34.4276,100%
150000,partially_sorted,1,54.0487,100%
150000,partially_sorted,2,46.0161,100%
150000,partially_sorted,3,45.9898,100%
150000,partially_sorted,4,49.0100,100%
150000,partially_sorted,5,43.6246,100%
150000,partially_sorted,6,65.7588,100%
150000,partially_sorted,7,66.9892,100%
150000,partially_sorted,8,60.1960,100%
150000,partially_sorted,9,50.5067,100%
150000,partially_sorted,10,46.1801,100%
