Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.2167,100%
10000,ascending,0,2.0355,100%
100000,ascending,0,26.5461,100%
150000,ascending,0,38.0752,100%
1000,descending,0,0.1797,100%
10000,descending,0,2.0428,100%
100000,descending,0,24.7215,100%
150000,descending,0,36.5084,100%
1000,random,1,0.2171,100%
1000,random,2,0.2504,100%
1000,random,3,0.2389,100%
1000,random,4,0.6465,100%
1000,random,5,0.2428,100%
1000,random,6,0.2520,100%
1000,random,7,0.2460,100%
1000,random,8,0.2436,100%
1000,random,9,0.2327,100%
1000,random,10,0.2630,100%
10000,random,1,3.1126,100%
10000,random,2,2.8911,100%
10000,random,3,2.9601,100%
10000,random,4,2.8946,100%
10000,random,5,3.9600,100%
10000,random,6,2.9499,100%
10000,random,7,3.0013,100%
10000,random,8,3.0603,100%
10000,random,9,2.9224,100%
10000,random,10,3.2831,100%
100000,random,1,40.3212,100%
100000,random,2,44.5531,100%
100000,random,3,40.0411,100%
100000,random,4,38.9084,100%
100000,random,5,37.9443,100%
100000,random,6,38.8254,100%
100000,random,7,36.7352,100%
100000,random,8,38.4124,100%
100000,random,9,41.6809,100%
100000,random,10,41.1513,100%
150000,random,1,65.0130,100%
150000,random,2,56.9192,100%
150000,random,3,61.0946,100%
150000,random,4,59.6453,100%
150000,random,5,58.3456,100%
150000,random,6,62.7968,100%
150000,random,7,61.9354,100%
150000,random,8,61.5489,100%
150000,random,9,58.1799,100%
150000,random,10,62.3912,100%
1000,partially_sorted,1,0.2029,100%
1000,partially_sorted,2,0.2281,100%
1000,partially_sorted,3,0.2273,100%
1000,partially_sorted,4,0.2237,100%
1000,partially_sorted,5,0.2126,100%
1000,partially_sorted,6,0.5848,100%
1000,partially_sorted,7,0.2225,100%
1000,partially_sorted,8,0.2170,100%
1000,partially_sorted,9,0.2200,100%
1000,partially_sorted,10,0.2075,100%
10000,partially_sorted,1,3.1367,100%
10000,partially_sorted,2,2.5233,100%
10000,partially_sorted,3,2.4942,100%
10000,partially_sorted,4,2.8937,100%
10000,partially_sorted,5,2.4934,100%
10000,partially_sorted,6,2.6136,100%
10000,partially_sorted,7,2.6159,100%
10000,partially_sorted,8,2.5789,100%
10000,partially_sorted,9,3.4290,100%
10000,partially_sorted,10,2.6020,100%
100000,partially_sorted,1,36.1805,100%
100000,partially_sorted,2,32.0590,100%
100000,partially_sorted,3,35.9624,100%
100000,partially_sorted,4,33.4000,100%
100000,partially_sorted,5,31.8374,100%
100000,partially_sorted,6,32.6087,100%
100000,partially_sorted,7,31.8325,100%
100000,partially_sorted,8,33.4379,100%
100000,partially_sorted,9,31.4323,100%
100000,partially_sorted,10,31.3379,100%
150000,partially_sorted,1,47.2770,100%
150000,partially_sorted,2,48.3968,100%
150000,partially_sorted,3,49.4154,100%
150000,partially_sorted,4,51.0881,100%
150000,partially_sorted,5,50.0055,100%
150000,partially_sorted,6,51.5354,100%
150000,partially_sorted,7,49.2503,100%
150000,partially_sorted,8,49.5794,100%
150000,partially_sorted,9,49.9612,100%
150000,partially_sorted,10,48.2443,100%
